Code	Incipit	Rubrica	File	Source	Duplicate of		
Q4F1N1L2		Ex. 3: 7-10	x	AELF			
Q4F1N1L3		Ex. 3: 11-15	x	AELF			
Q5F1N1L1	Incipit liber Jeremíæ Prophétæ	Jr. 1: 1-6	x	AELF			
Q5F1N1L2		Jr. 1: 7-13	x	AELF			
Q5F1N1L3		Jr. 1: 14-19	x	AELF			
Q6F1N1L1	De Jeremía Prophéta	Jr. 2: 12-17	x	AELF			
Q6F1N1L2		Jr. 2: 18-22	x	AELF			
Q6F1N1L3		Jr. 2: 29-32	x	AELF			
Q6F3L1	De Jeremía Prophéta	Jr. 11: 15-20	x	AELF			
Q6F3L2		Jr. 12: 1-4	x	AELF			
Q6F3L3		Jr. 12: 7-11	x	AELF			
Q6F4L1	De Jeremía Prophéta	Jr. 17: 13-18	x	AELF			
Q6F4L2		Jr. 18: 13-18	x	AELF			
Q6F4L3		Jr. 18: 19-23	x	AELF			
Q6F5N1L1							
Q6F5N1L2							
Q6F5N1L3							
Q6F5N3L1	De Epístola prima beáti Pauli Apóstoli ad Corínthios	1 Co. 11: 17-22	x	AELF			
Q6F5N3L2		1 Co. 11: 23-26	x	AELF			
Q6F5N3L3		1 Co. 11: 27-34	x	AELF			
Q6F6N1L1							
Q6F6N1L2							
Q6F6N1L3							
Q6F6N3L1	De Epístola beáti Pauli Apóstoli ad Hebrǽos	He. 4: 11-15	x	AELF			
Q6F6N3L2		He. 4: 16; 5: 1-3	x	AELF			
Q6F6N3L3		He. 5: 4-10	x	AELF			
Q6F7N1L1							
Q6F7N1L2							
Q6F7N1L3							
Q6F7N3L1	De Epístola beáti Pauli Apóstoli ad Hebrǽos	He. 9: 11-14	x	AELF			
Q6F7N3L2		He. 9: 15-18	x	AELF			
Q6F7N3L3		He. 9: 19-22	x	AELF			
P1F1N1L1	De Epístola beáti Pauli Apóstoli ad Colossénses	Col. 3: 1-7	x	AELF			
P1F1N1L2		Col. 3: 8-13	x	AELF		cf. E1F1N1L1	
P1F1N1L3		Col. 3: 14-17	x	AELF		cf. E1F1N1L2	
P1F2L1	Incipit liber Actuum Apostolórum	Ac. 1: 1-8	x	AELF			
P1F2L2		Ac. 1: 9-14	x	AELF			
P1F2L3		Ac. 1: 15-26	x	AELF			
P1F3L1	De Actibus Apostolórum	Ac. 2: 1-8	x	AELF			
P1F3L2		Ac. 2: 14-21	x	AELF			
P1F3L3		Ac. 2: 22-27	x	AELF			
P1F4L1	De Actibus Apostolórum	Ac. 3: 1-6	x	AELF			
P1F4L2		Ac. 3: 7-11	x	AELF			
P1F4L3		Ac. 3: 12-16	x	AELF			
